RG, john DAVIS, Face=0x24, #65, 25, 69, 25, 63 
QB1, jeff GEORGE, Face=0x4, #11, 25, 69, 6, 13, 50, 31, 38, 25 ,[1, 4, 3 ]
WR4, stanley MORGAN, Face=0xbd, #88, 25, 69, 25, 13, 50, 44 ,[1, 3, 7, 2 ]
RG, brian BALDINGER, Face=0x27, #62, 25, 69, 38, 38 
RG, harry GALBREATH, Face=0x93, #62, 25, 69, 38, 63 
RG, damian JOHNSON, Face=0xaf, #68, 25, 69, 25, 44 
RG, dave CADIGAN, Face=0x3d, #66, 25, 69, 31, 50 
LCB, tony STARGELL, Face=0xc4, #45, 25, 31, 38, 31, 44, 31 ,[38, 2 ]
RG, brian BLADOS, Face=0x48, #74, 25, 69, 25, 56 
RG, gregg RAKOCZY, Face=0x39, #73, 25, 69, 25, 50 
RG, bruce MATTHEWS, Face=0x28, #74, 25, 69, 44, 69 
RG, terry LONG, Face=0xc6, #74, 25, 69, 38, 44 
RG, doug WIDELL, Face=0x10, #67, 69, 31, 44, 44 
ROLB, karl MECKLENBURG, Face=0x1b, #77, 31, 44, 50, 56, 19, 63 ,[102, 25 ]
QB1, steve DE BERG, Face=0xf, #17, 25, 69, 6, 13, 50, 63, 56, 56 ,[1, 6, 3 ]
RG, david LUTZ, Face=0x47, #72, 25, 69, 25, 56 
RG, max MONTOYA, Face=0x24, #65, 25, 69, 31, 56 
RG, david RICHARDS, Face=0x1d, #65, 25, 69, 25, 69 
RG, bryan MILLARD, Face=0x4b, #71, 25, 69, 31, 50 
RG, raleigh MCKENZIE, Face=0x4c, #63, 25, 69, 38, 56 
RG, eric MOORE, Face=0xc0, #60, 25, 69, 31, 63 
RT, doug RIESENBERG, Face=0x33, #72, 25, 69, 31, 50 
RG, ron SOLT, Face=0x48, #66, 25, 69, 19, 38 
RG, lance SMITH, Face=0xbc, #61, 25, 69, 31, 38 
QB2, babe LAUFENBERG, Face=0x1f, #15, 25, 69, 13, 13, 44, 38, 31, 38 ,[2, 2, 2 ]
RG, john GESEK, Face=0x2b, #67, 25, 69, 31, 44 
C, jay HILGENBERG, Face=0x48, #63, 25, 69, 50, 63 
RG, tom THAYER, Face=0x36, #57, 25, 69, 38, 50 
RG, ken DALLAFIOR, Face=0x24, #67, 25, 69, 31, 38 
LE, keith FERGUSON, Face=0xc7, #77, 25, 31, 25, 31, 19, 31 ,[5, 5 ]
RG, ron HALLSTROM, Face=0xc, #65, 25, 69, 25, 50 
RG, todd KALIS, Face=0x2a, #69, 25, 69, 25, 50 
RG, ian BECKLES, Face=0xaf, #62, 25, 69, 25, 44 
RG, harris BARTON, Face=0x1f, #79, 25, 69, 25, 56 
RG, bern BROSTEK, Face=0x1f, #61, 25, 69, 25, 56 
C, joel HILGENBERG, Face=0x1c, #61, 25, 69, 44, 50 
RG, steve TRAPILO, Face=0x2f, #65, 25, 69, 31, 50 
RG, bill FRALIC, Face=0x9, #79, 25, 69, 44, 50 
LG, jim RITCHER, Face=0x7, #51, 25, 69, 38, 56 
LG, randy DIXON, Face=0x95, #69, 25, 69, 25, 50 
LG, keith SIMS, Face=0xbf, #69, 25, 69, 25, 69 
LG, chris GAMBOL, Face=0x44, #74, 25, 69, 19, 50 
LG, mike HAIGHT, Face=0x41, #79, 25, 69, 31, 44 
LG, bruce REIMERS, Face=0x1e, #75, 25, 69, 31, 63 
LG, ralph TAMM, Face=0x38, #65, 25, 69, 31, 50 
LG, mike MUNCHAK, Face=0x2c, #63, 25, 69, 31, 63 
LG, b. BLANKENSHIP, Face=0x2a, #60, 25, 69, 38, 44 
LG, jim JURIGA, Face=0x34, #66, 25, 69, 38, 44 
LG, david SZOTT, Face=0x2b, #79, 25, 69, 38, 50 
LG, steve WISNIEWSKI, Face=0x32, #76, 25, 69, 44, 69 
LG, courtney HALL, Face=0xad, #53, 25, 69, 38, 50 
LG, edwin BAILEY, Face=0x95, #65, 25, 69, 38, 44 
LG, russ GRIMM, Face=0x4b, #68, 25, 69, 38, 56 
LG, william ROBERTS, Face=0xaf, #66, 25, 69, 31, 56 
LG, mike SCHAD, Face=0x44, #79, 25, 69, 19, 50 
LG, derek KENNARD, Face=0xb9, #70, 25, 69, 25, 56 
LG, crawford KER, Face=0x38, #68, 25, 69, 31, 50 
C, jay HILGENBERG, Face=0x48, #63, 25, 69, 50, 63 
LG, mark BORTZ, Face=0x3f, #62, 25, 69, 44, 69 
LG, eric ANDOLSEK, Face=0x1b, #65, 25, 69, 31, 50 
LG, rich MORAN, Face=0x30, #57, 25, 69, 38, 44 
LG, randall MCDANIEL, Face=0xc2, #64, 25, 69, 50, 69 
LG, carl BAX, Face=0xc, #75, 25, 69, 25, 38 
LG, guy MCINTYRE, Face=0xac, #62, 25, 69, 31, 50 
LG, tom NEWBERRY, Face=0x31, #66, 25, 69, 31, 50 
C, joel HILGENBERG, Face=0x1c, #61, 25, 69, 44, 50 
LG, jim DOMBROWSKI, Face=0x1f, #72, 25, 69, 31, 69 
LG, houston HOOVER, Face=0xb2, #69, 25, 69, 19, 44 
LT, will WOLFORD, Face=0x48, #69, 25, 69, 25, 50 
LT, zefross MOSS, Face=0xc1, #73, 25, 69, 19, 63 
LT, richmond WEBB, Face=0x9c, #78, 25, 69, 38, 75 
LT, bruce ARMSTRONG, Face=0x80, #78, 25, 69, 38, 69 
LT, jeff CRISWELL, Face=0x33, #61, 25, 69, 25, 50 
LT, anthony MUNOZ, Face=0xb, #78, 25, 69, 38, 75 
RT, joe WALTER, Face=0x4b, #63, 25, 69, 25, 50 
LT, paul FARREN, Face=0x32, #74, 25, 69, 31, 44 
LT, don MAGGS, Face=0x44, #78, 25, 69, 25, 50 
LT, john JACKSON, Face=0xa6, #65, 25, 69, 25, 50 
LT, darrell HAMILTON, Face=0xc0, #69, 25, 69, 25, 56 
LT, john ALT, Face=0x1f, #76, 25, 69, 19, 81 
WR2, willie GAULT, Face=0x84, #83, 44, 69, 63, 13, 50, 56 ,[1, 5, 13, 10 ]
LT, bruce WILKERSON, Face=0xc9, #68, 25, 69, 50, 50 
LT, joel PATTEN, Face=0x30, #78, 25, 69, 25, 63 
LT, andy HECK, Face=0x2b, #66, 25, 69, 44, 50 
LT, jim LACHEY, Face=0x2f, #79, 25, 69, 31, 69 
SS, alvin WALTON, Face=0xc1, #40, 25, 31, 44, 31, 44, 31 ,[38, 134 ]
LT, john ELLIOTT, Face=0x2b, #76, 25, 69, 25, 75 
RG, ron SOLT, Face=0x48, #66, 25, 69, 19, 38 
LT, ron HELLER, Face=0x4b, #73, 25, 69, 25, 50 
LT, luis SHARPE, Face=0x97, #67, 25, 69, 50, 63 
TE2, rob AWALT, Face=0x83, #89, 25, 69, 19, 56, 50, 31 ,[1, 2, 6, 1 ]
LT, kevin GOGAN, Face=0x34, #66, 25, 69, 19, 56 
LCB, issiac HOLT, Face=0x86, #30, 38, 44, 56, 56, 50, 63 ,[2, 2 ]
LT, jim COVERT, Face=0x51, #74, 25, 69, 31, 50 
LT, lomas BROWN, Face=0x8d, #75, 25, 69, 38, 56 
LT, alan VEINGRAD, Face=0x33, #73, 25, 69, 31, 44 
LT, gary ZIMMERMAN, Face=0x41, #65, 25, 69, 31, 69 
LT, paul GRUBER, Face=0x1c, #74, 25, 69, 25, 50 
FS, harry HAMILTON, Face=0x23, #39, 25, 31, 44, 44, 56, 50 ,[89, 114 ]
LT, bubba PARIS, Face=0xae, #77, 25, 69, 19, 69 
LE, pierce HOLT, Face=0x2a, #78, 31, 44, 50, 69, 19, 50 ,[2, 1 ]
P, barry HELTON, Face=0xc, #9, 25, 56, 44, 31, 19, 38 ,[2 ]
LT, irv PANKEY, Face=0xa6, #75, 25, 69, 25, 63 
LT, kevin HAVERDINK, Face=0x4e, #74, 25, 69, 25, 56 
LT, mike KENN, Face=0x1e, #78, 25, 69, 31, 38 
RT, howard BALLARD, Face=0x88, #75, 25, 69, 19, 63 
RT, kevin CALL, Face=0x7, #71, 25, 69, 19, 56 
WR4, tony MARTIN, Face=0xa2, #89, 25, 69, 25, 13, 50, 50 ,[1, 8, 10, 2 ]
RT, mark DENNIS, Face=0x1e, #74, 25, 69, 25, 56 
WR3, greg MCMURTY, Face=0x8e, #19, 25, 69, 19, 13, 50, 50 ,[1, 4, 6, 2 ]
WR4, sammy MARTIN, Face=0x36, #82, 25, 69, 25, 13, 50, 44 ,[1, 3, 7, 2 ]
RT, danny VILLA, Face=0x32, #75, 25, 69, 19, 50 
RT, brett MILLER, Face=0x2a, #72, 25, 69, 25, 50 
LE, ron STALLWORTH, Face=0x8f, #96, 25, 31, 38, 50, 19, 50 ,[108, 7 ]
RT, joe WALTER, Face=0x4b, #63, 25, 69, 25, 50 
RCB, carl CARTER, Face=0xc6, #45, 25, 31, 25, 31, 38, 25 ,[0, 2 ]
RT, tony JONES, Face=0xa7, #66, 25, 69, 25, 50 
RT, dean STEINKUHLER, Face=0x1e, #70, 25, 69, 25, 50 
RT, tunch ILKIN, Face=0x32, #62, 25, 69, 44, 69 
C, keith KARTZ, Face=0x33, #72, 25, 69, 38, 44 
RT, ken LANIER, Face=0xaf, #76, 25, 69, 25, 50 
TE1, alfredo ROBERTS, Face=0x9c, #87, 25, 69, 19, 50, 50, 31 ,[1, 2, 5, 0 ]
RT, rich BALDINGER, Face=0x27, #77, 25, 69, 25, 69 
LOLB, chris MARTIN, Face=0x84, #57, 25, 38, 44, 50, 19, 44 ,[1, 135 ]
SS, kevin PORTER, Face=0xb8, #27, 25, 31, 44, 38, 38, 38 ,[51, 146 ]
TE1, ethan HORTON, Face=0xc0, #88, 25, 69, 44, 50, 50, 44 ,[5, 4, 9, 6 ]
RT, rory GRAVES, Face=0x99, #60, 25, 69, 25, 50 
RT, b. THOMPSON, Face=0xc7, #76, 25, 69, 25, 56 
RT, ron MATTES, Face=0x32, #70, 25, 69, 25, 56 
ROLB, rufus PORTER, Face=0x81, #97, 25, 38, 44, 44, 19, 56 ,[6, 12 ]
RT, ed SIMMONS, Face=0xcd, #76, 25, 69, 25, 63 
RB3, maurice CARTHON, Face=0x96, #44, 44, 69, 25, 44, 50, 25 ,[4, 2, 8, 2 ]
LG, william ROBERTS, Face=0xaf, #66, 25, 69, 31, 56 
RT, doug RIESENBERG, Face=0x33, #72, 25, 69, 31, 50 
RT, r. SINGLETARY, Face=0x8a, #68, 25, 69, 25, 50 
RT, tootie ROBBINS, Face=0x95, #63, 25, 69, 25, 56 
WR1, kelvin MARTIN, Face=0x85, #83, 31, 69, 38, 13, 50, 56 ,[1, 5, 7, 10 ]
RT, nate NEWTON, Face=0xb5, #61, 25, 69, 25, 75 
RE, tony TOLBERT, Face=0x43, #92, 25, 31, 38, 50, 19, 56 ,[46, 2 ]
ROLB, ken NORTON, Face=0xb4, #51, 25, 38, 44, 38, 31, 44 ,[13, 7 ]
RILB, eugene LOCKHART, Face=0xc, #56, 31, 44, 50, 56, 19, 56 ,[2, 79 ]
FS, ray HORTON, Face=0x26, #20, 31, 38, 50, 56, 44, 38 ,[33, 120 ]
LG, mark BORTZ, Face=0x3f, #62, 25, 69, 44, 69 
LT, jim COVERT, Face=0x51, #74, 25, 69, 31, 50 
RT, keith VAN HORNE, Face=0x13, #78, 25, 69, 31, 50 
RT, harvey SALEM, Face=0xc, #73, 25, 69, 25, 50 
RT, tony MANDARICH, Face=0x3a, #77, 25, 69, 19, 63 
WR2, anthony CARTER, Face=0x9f, #81, 44, 69, 56, 13, 50, 75 ,[1, 7, 9, 10 ]
WR4, cris CARTER, Face=0x8f, #80, 31, 69, 31, 13, 50, 50 ,[1, 4, 8, 3 ]
RT, tim IRWIN, Face=0x2b, #76, 25, 69, 25, 50 
RT, rob TAYLOR, Face=0x45, #72, 25, 69, 25, 38 
RB3, dexter CARTER, Face=0x97, #35, 38, 69, 44, 19, 50, 38 ,[6, 5, 7, 2 ]
RG, harris BARTON, Face=0x1f, #79, 25, 69, 25, 56 
RT, steve WALLACE, Face=0xaf, #74, 25, 69, 31, 63 
NT, michael CARTER, Face=0x9c, #95, 25, 31, 38, 69, 19, 56 ,[46, 0 ]
RT, jackie SLATER, Face=0xc1, #78, 25, 69, 31, 63 
RB4, gil FENERTY, Face=0x34, #22, 38, 69, 44, 25, 50, 31 ,[5, 3, 8, 4 ]
WR1, eric MARTIN, Face=0xcb, #84, 31, 69, 38, 13, 50, 69 ,[1, 7, 9, 12 ]
RT, stan BROCK, Face=0x39, #67, 25, 69, 44, 69 
LE, wayne MARTIN, Face=0x99, #93, 25, 31, 38, 44, 19, 44 ,[5, 3 ]
RT, chris HINTON, Face=0xb2, #71, 25, 69, 31, 69 
C, kent HULL, Face=0x1e, #67, 25, 69, 38, 69 
C, ray DONALDSON, Face=0xaf, #53, 25, 69, 25, 50 
C, jeff UHLENHAKE, Face=0x2a, #63, 25, 69, 31, 69 
C, paul FAIRCHILD, Face=0x43, #66, 25, 69, 38, 38 
C, jim SWEENEY, Face=0x1d, #53, 25, 69, 38, 44 
C, bruce KOZERSKI, Face=0x41, #64, 25, 69, 31, 56 
C, mike BAAB, Face=0x23, #61, 25, 69, 38, 44 
K, jerry KAURIC, Face=0x28, #2, 56, 81, 81, 31, 38, 31 ,[5 ]
C, jay PENNISON, Face=0x47, #52, 25, 69, 31, 50 
C, dermontti DAWSON, Face=0xa8, #63, 25, 69, 38, 56 
C, keith KARTZ, Face=0x33, #72, 25, 69, 38, 44 
C, mike WEBSTER, Face=0x36, #53, 25, 69, 38, 69 
C, don MOSEBAR, Face=0x1f, #72, 25, 69, 31, 50 
NT, bob GOLIC, Face=0x49, #79, 25, 31, 31, 69, 25, 56 ,[38, 1 ]
QB2, mark VLASIC, Face=0x31, #13, 25, 69, 13, 13, 44, 38, 25, 38 ,[2, 1, 2 ]
C, frank CORNISH, Face=0x8f, #63, 25, 69, 31, 56 
C, grant FEASEL, Face=0x1b, #54, 25, 69, 31, 56 
C, jeff BOSTIC, Face=0x2c, #53, 25, 69, 38, 69 
C, bart OATES, Face=0x1f, #65, 25, 69, 38, 50 
C, david ALEXANDER, Face=0x33, #72, 25, 69, 31, 38 
NT, mike GOLIC, Face=0x2e, #90, 25, 31, 38, 50, 31, 44 ,[97, 14 ]
C, bill LEWIS, Face=0x9, #51, 25, 69, 31, 38 
C, mark STEPNOSKI, Face=0x1c, #53, 25, 69, 38, 38 
C, jay HILGENBERG, Face=0x48, #63, 25, 69, 50, 63 
C, kevin GLOVER, Face=0xaf, #53, 25, 69, 31, 44 
C, james CAMPEN, Face=0x2f, #63, 25, 69, 38, 38 
C, kirk LOWDERMILK, Face=0xb, #63, 25, 69, 38, 63 
C, randy GRIMES, Face=0x48, #60, 25, 69, 38, 31 
C, jesse SAPOLU, Face=0x82, #61, 25, 69, 38, 63 
C, doug SMITH, Face=0xc, #56, 25, 69, 38, 63 
C, joel HILGENBERG, Face=0x1c, #61, 25, 69, 44, 50 
C, jamie DUKES, Face=0xa7, #64, 25, 69, 19, 50 
RG, bill FRALIC, Face=0x9, #79, 25, 69, 44, 50 
